id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,ASTR2002,ASTRA,257-1159 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1159-1LT,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1203 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1203-1LT,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1243 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1243 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1243-1LT,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1245 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1245 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1245-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1246 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1246 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1246-1LT,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1249 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1249 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1249 Standard,IDR,GR,20/02/2020,31/12/2040,170.5,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1249 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1249-1LT,IDR,GR,20/02/2020,31/12/2040,212,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1253 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1253 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1253 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1253-1LT,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1256 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1256 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1256 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1256-1LT,IDR,GR,20/02/2020,31/12/2040,212,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1258 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1258 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1258 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1258-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1272 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1272 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1272 Standard,IDR,GR,20/02/2020,31/12/2040,170.5,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1272 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1272-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1275 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
